,participantId,format,precision,recall,f1,task,tree_similarity,strict_parse,loose_parse,duration_sec,help_count,search_count,copy_count,paste_count,normalized_time
0,64457bc906c125cebd4bf66b,json5,1.0,0.75,0.8571428571428571,modifying-task-tabular-1,0.9947916666666666,True,True,156.905,1,0,0,0,156.905
1,6697c8b6d9d7baa7edd8c4d3,hjson,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,False,311.642,0,0,0,0,311.642
2,66475d6f7b27e4443ef0d031,json,0.0,0.0,0.0,modifying-task-tabular-1,0.9791666666666666,True,True,85.266,0,0,0,0,85.266
3,67f5bb69760b211cdfe8021c,jsonc,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,True,182.869,0,0,0,0,182.869
4,67e571bef6af7ecd9c29ad72,json,0.6666666666666666,0.5,0.5714285714285715,modifying-task-tabular-1,0.9791666666666666,True,True,283.731,0,0,0,0,283.731
5,60f1f1d4ac991a259b83f603,json,1.0,0.75,0.8571428571428571,modifying-task-tabular-1,0.9895833333333334,True,True,204.627,0,0,0,0,204.627
6,678f0bb28ec3307e4f1afb78,hjson,1.0,1.0,1.0,modifying-task-tabular-1,0.9895833333333334,True,False,153.609,0,0,0,0,153.609
7,673c13c9d37c8a73bc80b8ce,json,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,True,150.123,0,0,0,0,150.123
8,673e43cc760355e9e4f042a3,json5,1.0,0.75,0.8571428571428571,modifying-task-tabular-1,0.9947916666666666,True,True,178.811,0,0,0,0,178.811
9,60a0b744298c64d46b63e893,hjson,1.0,1.0,1.0,modifying-task-tabular-1,0.9947916666666666,True,False,139.134,0,0,0,0,139.134
10,678bad003d15e6aba1ee5a5d,jsonc,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,True,205.675,0,0,0,1,205.675
11,66cdfebcb908ea2717d06b6c,hjson,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,False,94.379,0,0,0,0,94.379
12,67f0c5d37f91ceae5cb3b318,jsonc,1.0,1.0,1.0,modifying-task-tabular-1,0.9895833333333334,True,True,139.139,0,0,0,0,139.139
13,56cb8858edf8da000b6df354,hjson,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,False,96.638,0,0,3,3,96.638
14,67aee0dfad3492b61a9ba0eb,jsonc,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,True,104.185,0,0,0,0,104.185
15,667971a555af1f83d3f29ae7,hjson,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,False,178.553,0,1,5,5,178.553
16,5c6414540821d30001046198,hjson,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,False,363.776,0,0,0,0,363.776
17,6788c1c724c24dc56b08790a,json5,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,True,201.221,1,0,0,0,201.221
18,6734346ca8e90c2da6fb4509,jsonc,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,True,137.744,0,1,3,0,137.744
19,67ab214c2cde1be7c45535ac,jsonc,1.0,0.75,0.8571428571428571,modifying-task-tabular-1,0.9947916666666666,True,True,115.897,0,0,0,0,115.897
20,607728dc0b4f8590b94ae57c,jsonc,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,True,1132.389,0,0,3,4,1132.389
21,667c18ace97ab6869cb1c50e,hjson,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,False,92.512,0,0,3,4,92.512
22,667ac09492ea0caadf488520,json,0.0,0.0,0.0,modifying-task-tabular-1,0.9791666666666666,False,False,195.011,5,0,0,0,195.011
23,67debe02a893eea51e8d02f2,json,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,True,177.05,0,0,0,0,177.05
24,5dafea4de40355001651fa2f,jsonc,0.0,0.0,0.0,modifying-task-tabular-1,0.9375,True,True,188.909,0,0,0,0,188.909
25,615200d54efc832849db2259,json,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,True,492.61,1,0,0,0,492.61
26,67a754a5c8614c52a939d87b,hjson,1.0,1.0,1.0,modifying-task-tabular-1,0.9895833333333334,True,False,287.615,0,1,0,0,287.615
27,65cf6d8a589a67afcab54e6f,hjson,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,False,99.036,0,0,0,0,99.036
28,672d98919cc177d28c204e76,json5,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,True,177.322,0,0,0,0,177.322
29,66b0d065329001a04e5ae671,json,0.0,0.0,0.0,modifying-task-tabular-1,0.9791666666666666,True,True,801.696,5,1,0,0,801.696
30,67f1a4f8dd44e7cd5adffa29,json5,0.0,0.0,0.0,modifying-task-tabular-1,0.9739583333333334,True,True,409.616,0,0,0,0,409.616
31,5e3b5fa9255e7a37bc841135,json,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,True,165.49,0,0,0,0,165.49
32,5d30dfa68b1523000134878f,json,1.0,1.0,1.0,modifying-task-tabular-1,1.0,True,True,161.677,0,0,0,0,161.677
