participantId,format,total_score,task
56cb8858edf8da000b6df354,hjson,0.7426564495530013,tabular
57c357770e6a1f00015f6038,json,0.5356040358065998,tabular
5b68c9eb87af310001584803,json5,0.4033863625547607,tabular
5c6414540821d30001046198,hjson,0.6269373093525981,tabular
5d30dfa68b1523000134878f,json,0.7234148640162998,tabular
5d766978f47e6200019a2acf,yaml,0.8073125746990355,tabular
5dafea4de40355001651fa2f,jsonc,0.35326967041215135,tabular
5e3b5fa9255e7a37bc841135,json,0.7580076518102287,tabular
5e8a5a892f6f027054a83d88,toml,0.8676140935619031,tabular
5ecc71c95c92c2000a9e9a19,jsonc,0.6364998662453384,tabular
5f29eff59714081a3594a331,json,0.6281984613922095,tabular
60721c2da01b3a616edba9a7,xml,0.5605709253808304,tabular
607728dc0b4f8590b94ae57c,jsonc,0.6049126136933556,tabular
60a0b744298c64d46b63e893,hjson,0.6103841076342994,tabular
60f1f1d4ac991a259b83f603,json,0.4598283137833949,tabular
60fce3df91350150e2e88423,yaml,0.6285596776674945,tabular
61267b828ead584bcf092e35,hjson,0.5927127211080082,tabular
615200d54efc832849db2259,json,0.7247805975891333,tabular
62fd14d7b1e0729dc8aadb79,xml,0.9172346838800736,tabular
637d8ca00150ac6e71a34ec9,yaml,0.6372956569216349,tabular
63e5b3e89a3823139cb9d35e,toml,0.6983457748629495,tabular
64275e53f51a5ed4f6b7d019,toml,0.6280375243090774,tabular
64457bc906c125cebd4bf66b,json5,0.5120180348652177,tabular
6501c0a2e788b5556c24569d,xml,0.7196612483756035,tabular
6577a27da9f5297d49f38e6f,hjson,0.9324846384949267,tabular
65be552ceed6a0595fa1feb5,json,0.41814572744350076,tabular
65cf6d8a589a67afcab54e6f,hjson,0.9810632794881237,tabular
65fad673a546ab14baf2f8d3,json5,0.6358370855085086,tabular
66049694dfb8828a8f3dce70,yaml,0.7271026177086419,tabular
6606b31155457e4f162ecf5a,json5,0.975095785440613,tabular
66475d6f7b27e4443ef0d031,json,0.5348180427298886,tabular
665c5d94303fdf202ac9ded0,toml,0.8121283246307779,tabular
6672d878f68b9e349b56e871,toml,0.5401342559825107,tabular
6675c40cdc52b37294f0514e,hjson,0.5356131344706961,tabular
66781db404eab5e142f849d9,jsonc,0.48675647277708095,tabular
667971a555af1f83d3f29ae7,hjson,1.0,tabular
667983594f7d5d70a78c6e5a,json,0.367816091954023,tabular
667ac09492ea0caadf488520,json,0.18292282902169413,tabular
667c18ace97ab6869cb1c50e,hjson,0.6120002956521564,tabular
667c2175b570aa694ce2f63c,toml,0.6324849334175306,tabular
6697c8b6d9d7baa7edd8c4d3,hjson,0.6858444231733659,tabular
66992f58a7964f557fc75f58,toml,0.6218578565519651,tabular
669a84e18da4349ece0ea67c,xml,0.3995137463337654,tabular
669b961e1c9cf30a26bb57d2,xml,0.5751482795385742,tabular
66a662a0a709312db9de01f2,jsonc,0.387318374958218,tabular
66a9285501ac98053902d481,toml,0.6221689655112822,tabular
66b0d065329001a04e5ae671,json,0.4348667338344258,tabular
66b246951b9aefec80b7158a,json,0.7239319027507266,tabular
66bb6b7e0ccbed81f3ed30a8,xml,0.5016133481465541,tabular
66cdfebcb908ea2717d06b6c,hjson,0.6344827586206896,tabular
671a519900a99ebc15a67672,yaml,0.48935475145982094,tabular
671b65fe04c301eb14263ba5,toml,0.6205766537670627,tabular
672003022f1b667a20157c45,yaml,0.7419504100224238,tabular
672ca6c0324ac26cdc0dd298,json5,0.3028753819949983,tabular
672d98919cc177d28c204e76,json5,0.5549492143578066,tabular
6734346ca8e90c2da6fb4509,jsonc,0.9084291187739463,tabular
673c13c9d37c8a73bc80b8ce,json,0.4764691019709357,tabular
673d0377254c407e5da57f97,toml,0.8879648651483908,tabular
673e43cc760355e9e4f042a3,json5,0.6810778553849706,tabular
6740ae39809389d7da9de209,xml,0.7474233851669764,tabular
6753746b1f8827e2bd586bf0,xml,0.4435845696600489,tabular
677c52fe648cd68583dd3b1e,xml,0.7796085998662501,tabular
677d185800ab83d1b0185d82,jsonc,0.27160430574018485,tabular
677d32c679491be18090225b,xml,0.3673139262126444,tabular
6784ff2095dd9b97e969b01f,jsonc,0.5016746254679619,tabular
6787d648d7b1963c661f9443,json5,0.2382795389197656,tabular
6787e4bd2bf9557a90208f03,yaml,0.7120532351853776,tabular
6788c1c724c24dc56b08790a,json5,0.4511649046449673,tabular
678bad003d15e6aba1ee5a5d,jsonc,0.975095785440613,tabular
678f0bb28ec3307e4f1afb78,hjson,0.8584436095503114,tabular
67a754a5c8614c52a939d87b,hjson,0.7932737149892869,tabular
67ab214c2cde1be7c45535ac,jsonc,0.49388075756770705,tabular
67ab57e88fd0774428bd1f32,xml,0.47473030246805914,tabular
67ab650c320eccf6141d4010,jsonc,0.2373985990935691,tabular
67adb27bd5f5776fcb16da62,hjson,0.486251775477708,tabular
67adb520391eb17f214a50b4,yaml,0.7277196517580956,tabular
67aee0dfad3492b61a9ba0eb,jsonc,0.499292578156665,tabular
67bf88cc763aae600b429a3e,toml,0.5532530646533601,tabular
67c246023b44ca64d40ae45a,json5,0.28247313756906944,tabular
