,participantId,format,precision,recall,f1,task,tree_similarity,strict_parse,loose_parse,duration_sec,normalized_time,help_count,search_count,copy_count,paste_count
0,5f7f239e9b204e05b6c36538,json5,0.25,0.1111111111111111,0.15384615384615383,writing-task-config,0.07692307692307687,False,False,518.178,483.7943823870968,0,0,0,0
1,676d220cd6e7101ccba18ba5,jsonc,0.07142857142857142,0.1111111111111111,0.08695652173913043,writing-task-config,0.0,False,False,1166.488,1640.7095219442233,0,0,0,0
2,680ebf035ab59d342f31726e,hjson,0.5,0.4444444444444444,0.47058823529411764,writing-task-config,0.07692307692307687,True,False,1309.504,1559.8159483952568,0,0,0,0
3,678faf5b31008609fd85b185,json5,0.18181818181818182,0.4444444444444444,0.2580645161290322,writing-task-config,0.08695652173913049,False,False,369.037,245.38843074590164,2,0,0,0
4,65e85a421f2dee53c62fbf45,json5,0.2727272727272727,0.3333333333333333,0.3,writing-task-config,0.0,False,False,1590.82,2347.48624438247,0,0,0,0
5,66b223d532199c29ed32c8f4,jsonc,0.2,0.1111111111111111,0.14285714285714285,writing-task-config,0.07692307692307687,False,False,1062.061,1200.2262503306772,4,0,0,0
6,666b0b42bb6fa2822fa27a32,json5,0.75,0.3333333333333333,0.46153846153846156,writing-task-config,0.15384615384615385,False,False,660.345,583.8602783333333,20,0,0,0
7,670f9ddb0e32533c222c3031,json,0.42857142857142855,0.3333333333333333,0.375,writing-task-config,0.15384615384615385,False,False,865.797,2208.941027884273,1,0,0,0
8,674f479b2a4ef75e4551f258,json5,0.2,0.1111111111111111,0.14285714285714285,writing-task-config,0.07692307692307687,False,False,934.576,969.6952190810811,1,0,0,0
9,682ac845e44bb325e260d19c,jsonc,1.0,1.0,1.0,writing-task-config,1.0,False,False,771.38,978.6577646825396,0,0,0,0
10,65583ffa38bfc41805a553cd,hjson,0.75,0.6666666666666666,0.7058823529411765,writing-task-config,0.15384615384615385,False,False,1007.809,1140.603832718254,12,0,0,0
11,60ec51c51a3158a50ded8a3e,json5,0.8888888888888888,0.8888888888888888,0.8888888888888888,writing-task-config,0.7692307692307692,True,True,344.69,179.88440984126984,2,0,0,0
12,671bdd06525adeea062a1d73,json,0.8888888888888888,0.8888888888888888,0.8888888888888888,writing-task-config,0.8461538461538461,False,False,172.234,90.014135984127,0,0,0,0
13,6647e8618c77f7b938865d25,json5,0.4444444444444444,0.4444444444444444,0.4444444444444444,writing-task-config,0.3846153846153846,True,True,350.803,489.99321112800004,0,0,0,0
14,67d11093c44f4d7f6439251d,jsonc,0.6666666666666666,0.6666666666666666,0.6666666666666666,writing-task-config,0.6923076923076923,True,True,488.611,515.9017119512195,0,0,0,0
