,participantId,format,task,correct,num_wrong_attempts,duration_sec,wrong_choice_count
0,659960f32faa4ff4b116de92,toml,tutorial-part1,1,4,588.01,5
1,659960f32faa4ff4b116de92,toml,tutorial-part2,1,1,220.866,0
2,5f7f239e9b204e05b6c36538,json5,tutorial-part1,0,5,1135.172,6
3,5f7f239e9b204e05b6c36538,json5,tutorial-part2,1,1,509.298,0
4,676d220cd6e7101ccba18ba5,jsonc,tutorial-part1,0,5,577.648,9
5,676d220cd6e7101ccba18ba5,jsonc,tutorial-part2,0,5,238.141,0
6,67b8636acd5ed420cc098b64,toml,tutorial-part1,1,1,325.888,2
7,67b8636acd5ed420cc098b64,toml,tutorial-part2,1,2,68.724,2
8,57ca4b09993b08000192297b,xml,tutorial-part1,1,0,76.217,0
9,57ca4b09993b08000192297b,xml,tutorial-part2,1,2,175.631,2
10,67d1cc8044430e99a7d91b4a,toml,tutorial-part1,1,3,510.04,6
11,67d1cc8044430e99a7d91b4a,toml,tutorial-part2,1,1,339.754,0
12,6693ce87e76d32ccf07fbcd8,xml,tutorial-part1,1,0,340.158,0
13,6693ce87e76d32ccf07fbcd8,xml,tutorial-part2,1,1,529.149,1
14,680ebf035ab59d342f31726e,hjson,tutorial-part1,1,1,550.319,0
15,680ebf035ab59d342f31726e,hjson,tutorial-part2,0,5,1547.068,0
16,67f0d86fabc081fdc410e828,yaml,tutorial-part1,1,1,332.753,0
17,67f0d86fabc081fdc410e828,yaml,tutorial-part2,1,0,486.672,0
18,6691809035e52ca9b2b0f39a,yaml,tutorial-part1,0,5,508.487,4
19,6691809035e52ca9b2b0f39a,yaml,tutorial-part2,1,0,132.467,0
20,678faf5b31008609fd85b185,json5,tutorial-part1,0,5,360.901,6
21,678faf5b31008609fd85b185,json5,tutorial-part2,1,1,61.927,0
22,65e85a421f2dee53c62fbf45,json5,tutorial-part1,1,5,4701.705,5
23,65e85a421f2dee53c62fbf45,json5,tutorial-part2,1,4,604.57,0
24,66b223d532199c29ed32c8f4,jsonc,tutorial-part1,1,3,793.784,3
25,66b223d532199c29ed32c8f4,jsonc,tutorial-part2,1,1,242.736,0
26,666b0b42bb6fa2822fa27a32,json5,tutorial-part1,0,5,952.263,11
27,666b0b42bb6fa2822fa27a32,json5,tutorial-part2,0,5,117.63,0
28,60f70af563ef757f65e750e0,xml,tutorial-part1,1,4,482.237,5
29,60f70af563ef757f65e750e0,xml,tutorial-part2,1,0,272.456,0
30,670f9ddb0e32533c222c3031,json,tutorial-part1,1,1,83.586,1
31,670f9ddb0e32533c222c3031,json,tutorial-part2,1,2,79.865,2
32,67d03135f855dd0ff0994265,toml,tutorial-part1,1,2,213.684,2
33,67d03135f855dd0ff0994265,toml,tutorial-part2,1,0,205.899,0
34,674f479b2a4ef75e4551f258,json5,tutorial-part1,1,3,1106.624,4
35,674f479b2a4ef75e4551f258,json5,tutorial-part2,0,5,505.263,0
36,682ac845e44bb325e260d19c,jsonc,tutorial-part1,0,5,238.596,11
37,682ac845e44bb325e260d19c,jsonc,tutorial-part2,1,4,179.101,0
38,5ee4a14b578f8a000b384376,yaml,tutorial-part1,1,4,273.484,4
39,5ee4a14b578f8a000b384376,yaml,tutorial-part2,1,0,77.149,0
40,63af557b3d4f219c3226b7d6,yaml,tutorial-part1,1,0,142.521,0
41,63af557b3d4f219c3226b7d6,yaml,tutorial-part2,1,3,150.922,3
42,65583ffa38bfc41805a553cd,hjson,tutorial-part1,1,0,331.442,0
43,65583ffa38bfc41805a553cd,hjson,tutorial-part2,0,5,234.202,0
44,66684d30d1a0d64a3a348c82,yaml,tutorial-part1,0,5,787.731,3
45,66684d30d1a0d64a3a348c82,yaml,tutorial-part2,1,0,80.796,0
46,60ec51c51a3158a50ded8a3e,json5,tutorial-part1,1,0,184.585,0
47,60ec51c51a3158a50ded8a3e,json5,tutorial-part2,1,0,144.784,0
48,671bdd06525adeea062a1d73,json,tutorial-part1,1,2,225.226,3
49,671bdd06525adeea062a1d73,json,tutorial-part2,1,0,49.856,0
50,6647e8618c77f7b938865d25,json5,tutorial-part1,1,0,295.521,0
51,6647e8618c77f7b938865d25,json5,tutorial-part2,1,5,542.568,0
52,5e5c993cd0394c474f7cc502,toml,tutorial-part1,1,3,219.082,4
53,5e5c993cd0394c474f7cc502,toml,tutorial-part2,1,0,95.976,0
54,67c045fa5074c5500ca40e76,xml,tutorial-part1,1,2,2024.83,2
55,67c045fa5074c5500ca40e76,xml,tutorial-part2,1,1,391.647,1
56,67d2eaf9d5996dc6be1c7072,xml,tutorial-part1,1,0,532.091,0
57,67d2eaf9d5996dc6be1c7072,xml,tutorial-part2,1,1,681.28,2
58,60e2ebb6ad1d5ee0e515a7c5,yaml,tutorial-part1,0,5,154.232,3
59,60e2ebb6ad1d5ee0e515a7c5,yaml,tutorial-part2,1,1,139.299,0
